CellName,Current_pA,FiringRate_Hz
2023_07_06_04,40,0
2023_07_06_04,55,0
2023_07_06_04,70,0
2023_07_06_04,85,0.333333333333333
2023_07_06_04,100,1
2023_07_06_04,115,3.33333333333333
2023_07_06_04,130,5.33333333333333
2023_07_06_04,145,6.33333333333333
2023_07_06_04,160,8.66666666666667
2023_07_06_04,175,9
2023_07_06_04,190,10
2023_07_06_04,205,10.3333333333333
2023_07_06_04,220,11.3333333333333
2023_07_06_04,235,12.3333333333333
2023_07_06_04,250,13
2023_07_06_04,265,13.6666666666667
2023_07_06_04,280,14.3333333333333
2023_07_06_04,295,15
2023_07_06_04,310,16
2024_11_04_01_0007.abf,-50,0
2024_11_04_01_0007.abf,-35,0
2024_11_04_01_0007.abf,-20,0
2024_11_04_01_0007.abf,-5,1
2024_11_04_01_0007.abf,10,4
2024_11_04_01_0007.abf,25,9
2024_11_04_01_0007.abf,40,13
2024_11_04_01_0007.abf,55,15
2024_11_04_01_0007.abf,70,17
2024_11_04_01_0007.abf,85,19
2024_11_04_01_0007.abf,100,20
2024_11_04_01_0007.abf,115,21
2024_11_04_01_0007.abf,130,23
2024_11_04_01_0007.abf,145,23
2024_11_04_01_0007.abf,160,24
2024_11_04_01_0007.abf,175,25
2024_11_04_01_0007.abf,190,25
2024_11_04_01_0007.abf,205,26
2024_11_04_01_0007.abf,220,27
2024_11_04_01_0007.abf,235,27
2024_11_04_01_0007.abf,250,27
2024_11_04_01_0007.abf,265,28
2024_11_04_01_0007.abf,280,29
2024_11_04_01_0007.abf,295,29
2024_11_04_01_0007.abf,310,29
